Date,Mean Value,Area (km²)
2025-03-14,0.18294906616210938,179.6336
2025-03-22,0.19699613749980927,179.6336
2025-04-01,0.21003220975399017,179.6336
2025-04-03,0.19780825078487396,179.6336
2025-04-11,0.22894756495952606,179.6336
2025-04-26,0.33559343218803406,179.6336
2025-06-05,0.6026297807693481,179.6336
2025-06-22,0.6083409190177917,179.6336
2025-07-10,0.5985747575759888,179.6336
2025-07-12,0.6057849526405334,179.6336
2025-09-03,0.5559779405593872,179.6336
2025-09-10,0.5180568099021912,179.6336
2025-10-28,0.39085137844085693,179.6336
2025-11-07,0.2793714106082916,179.6336
2025-11-12,0.2590503394603729,179.6336
2025-11-29,0.20865681767463684,179.6336
