Date,Mean Value,Area (km²)
2025-01-03,0.19495609402656555,329.1944
2025-01-18,0.17967551946640015,329.1944
2025-01-21,0.15229226648807526,329.1944
2025-01-23,0.18903611600399017,329.1944
2025-02-22,0.18225309252738953,329.1944
2025-02-27,0.17597752809524536,329.1944
2025-03-09,0.12318526208400726,329.1944
2025-03-14,0.13457542657852173,329.1944
2025-03-22,0.1343902200460434,329.1944
2025-03-31,0.18932807445526123,329.1944
2025-04-01,0.18940702080726624,329.1944
2025-04-03,0.1802491694688797,329.1944
2025-04-11,0.20712615549564362,329.1944
2025-04-21,0.26025480031967163,329.1944
2025-04-26,0.28071704506874084,329.1944
2025-04-28,0.30592599511146545,329.1944
2025-06-05,0.6117901802062988,329.1944
2025-06-22,0.6015613675117493,329.1944
2025-07-10,0.6185119152069092,329.1944
2025-07-12,0.6171366572380066,329.1944
2025-07-25,0.6015433073043823,329.1944
2025-07-27,0.6337853074073792,329.1944
2025-09-10,0.5578356981277466,329.1944
2025-09-27,0.5016409158706665,329.1944
2025-10-28,0.30558040738105774,329.1944
2025-11-02,0.2575685381889343,329.1944
2025-11-12,0.24025624990463257,329.1944
2025-11-19,0.23987409472465515,329.1944
2025-11-22,0.2216726392507553,329.1944
2025-11-29,0.17671890556812286,329.1944
