Date,Mean Value,Area (km²)
2025-01-03,0.26000168919563293,106.6501
2025-01-18,0.25084930658340454,106.6501
2025-02-17,0.2584817111492157,106.6501
2025-02-22,0.2561764121055603,106.6501
2025-03-09,0.21453328430652618,106.6501
2025-03-14,0.23415082693099976,106.6501
2025-03-29,0.22440804541110992,106.6501
2025-03-31,0.2075178027153015,106.6501
2025-04-08,0.2244400978088379,106.6501
2025-04-28,0.40569740533828735,106.6501
2025-07-09,0.5852473378181458,106.6501
2025-07-27,0.5724338889122009,106.6501
2025-07-29,0.5852565169334412,106.6501
2025-08-01,0.5804763436317444,106.6501
2025-09-05,0.4883570969104767,106.6501
2025-11-19,0.26168155670166016,106.6501
2025-11-26,0.24615095555782318,106.6501
2025-11-29,0.2208549976348877,106.6501
