Date,Mean Value,Area (km²)
2025-02-05,0.1599261313676834,401.2612
2025-03-14,0.14430412650108337,401.2612
2025-03-22,0.14313580095767975,401.2612
2025-04-01,0.19463525712490082,401.2612
2025-04-03,0.18093737959861755,401.2612
2025-04-11,0.20417453348636627,401.2612
2025-04-21,0.26061439514160156,401.2612
2025-04-26,0.2907519042491913,401.2612
2025-06-05,0.5967026948928833,401.2612
2025-06-22,0.6088690161705017,401.2612
2025-07-10,0.6014761328697205,401.2612
2025-07-12,0.6070359945297241,401.2612
2025-07-25,0.6033770442008972,401.2612
2025-09-10,0.5709994435310364,401.2612
2025-09-23,0.529676079750061,401.2612
2025-10-28,0.32108965516090393,401.2612
2025-11-12,0.24204424023628235,401.2612
2025-11-22,0.22589577734470367,401.2612
2025-11-29,0.17878808081150055,401.2612
