Date,Mean Value,Area (km²)
2025-03-14,0.20530562102794647,78.3023
2025-03-22,0.22029142081737518,78.3023
2025-04-01,0.22601349651813507,78.3023
2025-04-03,0.21064414083957672,78.3023
2025-04-06,0.23290914297103882,78.3023
2025-04-11,0.2534278333187103,78.3023
2025-04-16,0.2216319739818573,78.3023
2025-04-26,0.43723681569099426,78.3023
2025-06-05,0.5271913409233093,78.3023
2025-06-22,0.5396015644073486,78.3023
2025-07-10,0.5456279516220093,78.3023
2025-07-12,0.5478527545928955,78.3023
2025-09-03,0.5127643346786499,78.3023
2025-09-10,0.5120220184326172,78.3023
2025-10-08,0.4690730571746826,78.3023
2025-10-28,0.4234504997730255,78.3023
2025-11-07,0.304735392332077,78.3023
2025-11-12,0.2765611708164215,78.3023
